"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","3","26712102","8904034","50.0981441251636"
"hipEventSynchronize","1","20829900","20829900","39.0661630564583"
"hipMemcpy","2","3066491","1533245","5.75115758679407"
"hipDeviceSynchronize","1","2105851","2105851","3.94949176609612"
"hipLaunchKernel","33","552120","16730","1.03549272664447"
"hipEventRecord","2","15610","7805","0.0292763193923789"
"hipFree","3","15040","5013","0.028207292995604"
"hipEventElapsedTime","1","8800","8800","0.0165042671782789"
"hipEventDestroy","2","4310","2155","0.00808333994754344"
"__hipPopCallConfiguration","33","3530","106","0.0066204617203778"
"__hipPushCallConfiguration","33","3350","101","0.00628287443718574"
"hipEventCreate","2","2440","1220","0.00457618317215916"
"Total","116","53319544","459651","100.0"
