"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipModuleLoadData","97","684685208","7058610","68.4442997312111"
"hipModuleGetFunction","69","175252288","2539888","17.5190291659587"
"hipModuleUnload","97","91314641","941388","9.12823380062263"
"hipMalloc","6","37511967","6251994","3.74986969611194"
"hipFree","6","5771173","961862","0.576913141977317"
"hipMemcpy","2","3790562","1895281","0.378922107044759"
"hipEventSynchronize","1","1591401","1591401","0.159083803423644"
"hipDeviceSynchronize","1","176370","176370","0.0176307608263588"
"hipExtModuleLaunchKernel","33","157670","4777","0.0157614223478595"
"hipMemset","1","43610","43610","0.00435945727525943"
"hipEventRecord","2","29910","14955","0.00298994191935358"
"hipGetDeviceProperties","6","11430","1905","0.00114259565824846"
"hipEventDestroy","2","6050","3025","0.000604785978337986"
"hipDeviceGetAttribute","2","3550","1775","0.000354874417041297"
"hipEventElapsedTime","1","3510","3510","0.00035087583206055"
"hipEventCreate","2","3140","1570","0.000313888920988641"
"hipGetDevice","6","1200","200","0.00011995754942241"
"hipGetDeviceCount","1","200","200","1.99929249037351e-05"
"Total","335","1000353880","2986130","100.0"
